Level,Description,SeriesRefSNDQ,Quarter,Weight, Amount 
Industry groups,Agriculture,SG01RSC04B01AA1,1987Q2,0.049995988,1594.201796
Industry groups,Forestry and logging,SG01RSC04B01AA2,1987Q2,0.004200627,120.4626916
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1987Q2,0.006766143,201.0545183
Industry groups,Mining,SG01RSC04B01BB1,1987Q2,0.014020617,535.6826061
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1987Q2,0.056428713,1160.790727
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1987Q2,0.014013225,345.986401
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1987Q2,0.019152239,363.4171412
Industry groups,Printing,SG01RSC04B01CC4,1987Q2,0.007345958,216.290688
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1987Q2,0.038113244,745.8505601
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1987Q2,0.006058797,175.0657128
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1987Q2,0.018716353,541.9672987
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1987Q2,0.028636824,920.3751239
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1987Q2,0.005436592,185.0290055
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1987Q2,0.029769408,1127.384733
Industry groups,Construction,SG01RSC04B01EE1,1987Q2,0.050078792,1565.186971
Industry groups,Wholesale trade,SG01RSC04B01FF1,1987Q2,0.057456447,1556.707123
Industry groups,Retail trade,SG01RSC04B01GH1,1987Q2,0.050252237,1180.378471
Industry groups,Accommodation services,SG01RSC04B01GH2,1987Q2,0.016903373,700.8898894
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1987Q2,0.053577898,941.4492826
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1987Q2,0.043340002,433.1177776
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1987Q2,0.053867067,1487.323283
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1987Q2,0.042405023,1764.566398
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1987Q2,0.063048512,1972.359446
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1987Q2,0.04084549,1804.574198
Industry groups,Administrative and support services,SG01RSC04B01MN2,1987Q2,0.012025672,485.0933381
Industry groups,Local Government administration,SG01RSC04B01OO1,1987Q2,0.00630925,190.871873
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1987Q2,0.037298325,1192.236369
Industry groups,Education and training,SG01RSC04B01PP1,1987Q2,0.03882312,1439.729335
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1987Q2,0.042113196,1284.462404
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1987Q2,0.007862961,318.9098134
Industry groups,Other services,SG01RSC04B01RS2,1987Q2,0.017095054,473.4242392
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1987Q2,0.068042853,1788.802777
Industry groups,Agriculture,SG01RSC04B01AA1,1987Q3,0.049995988,1654.124989
Industry groups,Forestry and logging,SG01RSC04B01AA2,1987Q3,0.004200627,135.7364462
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1987Q3,0.006766143,199.9142396
Industry groups,Mining,SG01RSC04B01BB1,1987Q3,0.014020617,452.0053952
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1987Q3,0.056428713,1109.103935
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1987Q3,0.014013225,331.6368733
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1987Q3,0.019152239,371.7347923
Industry groups,Printing,SG01RSC04B01CC4,1987Q3,0.007345958,225.0628868
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1987Q3,0.038113244,709.9741269
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1987Q3,0.006058797,186.7398987
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1987Q3,0.018716353,533.4811398
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1987Q3,0.028636824,907.0259816
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1987Q3,0.005436592,188.1832446
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1987Q3,0.029769408,1111.756849
Industry groups,Construction,SG01RSC04B01EE1,1987Q3,0.050078792,1633.088707
Industry groups,Wholesale trade,SG01RSC04B01FF1,1987Q3,0.057456447,1514.563928
Industry groups,Retail trade,SG01RSC04B01GH1,1987Q3,0.050252237,1168.876777
Industry groups,Accommodation services,SG01RSC04B01GH2,1987Q3,0.016903373,700.725627
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1987Q3,0.053577898,971.8894249
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1987Q3,0.043340002,448.2993992
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1987Q3,0.053867067,1500.103171
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1987Q3,0.042405023,1800.063022
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1987Q3,0.063048512,1995.438183
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1987Q3,0.04084549,1882.314788
Industry groups,Administrative and support services,SG01RSC04B01MN2,1987Q3,0.012025672,503.4976728
Industry groups,Local Government administration,SG01RSC04B01OO1,1987Q3,0.00630925,193.4135598
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1987Q3,0.037298325,1186.32489
Industry groups,Education and training,SG01RSC04B01PP1,1987Q3,0.03882312,1443.120031
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1987Q3,0.042113196,1279.850693
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1987Q3,0.007862961,327.5313725
Industry groups,Other services,SG01RSC04B01RS2,1987Q3,0.017095054,466.703859
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1987Q3,0.068042853,1744.929945
Industry groups,Agriculture,SG01RSC04B01AA1,1987Q4,0.049995988,1733.082455
Industry groups,Forestry and logging,SG01RSC04B01AA2,1987Q4,0.004200627,133.5206819
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1987Q4,0.006766143,206.8356411
Industry groups,Mining,SG01RSC04B01BB1,1987Q4,0.014020617,647.1618091
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1987Q4,0.056428713,1095.274106
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1987Q4,0.014013225,293.9357247
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1987Q4,0.019152239,379.8853457
Industry groups,Printing,SG01RSC04B01CC4,1987Q4,0.007345958,223.2986727
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1987Q4,0.038113244,680.6755348
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1987Q4,0.006058797,188.4041291
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1987Q4,0.018716353,537.9319934
Industry groups,"Transport equipment, machinery and equipment manufacturing",SG01RSC04B01CC8,1987Q4,0.028636824,927.9373457
Industry groups,Furniture and other manufacturing,SG01RSC04B01CC9,1987Q4,0.005436592,188.8385709
Industry groups,"Electricity, gas, water, and waste services",SG01RSC04B01DD1,1987Q4,0.029769408,1114.260909
Industry groups,Construction,SG01RSC04B01EE1,1987Q4,0.050078792,1640.569632
Industry groups,Wholesale trade,SG01RSC04B01FF1,1987Q4,0.057456447,1436.548664
Industry groups,Retail trade,SG01RSC04B01GH1,1987Q4,0.050252237,1170.320717
Industry groups,Accommodation services,SG01RSC04B01GH2,1987Q4,0.016903373,691.6940973
Industry groups,"Transport, postal, and warehousing",SG01RSC04B01II1,1987Q4,0.053577898,1015.462388
Industry groups,Information media and telecommunications,SG01RSC04B01JJ1,1987Q4,0.043340002,450.0575397
Industry groups,Financial and insurance services,SG01RSC04B01KK1,1987Q4,0.053867067,1501.023856
Industry groups,"Rental, hiring, and real estate services",SG01RSC04B01LL1,1987Q4,0.042405023,1767.262815
Industry groups,Ownership of owner-occupied dwellings,SG01RSC04B01LL2,1987Q4,0.063048512,1998.467708
Industry groups,"Prof, scientific, and technical services",SG01RSC04B01MN1,1987Q4,0.04084549,1889.634978
Industry groups,Administrative and support services,SG01RSC04B01MN2,1987Q4,0.012025672,518.2772487
Industry groups,Local Government administration,SG01RSC04B01OO1,1987Q4,0.00630925,198.3803224
Industry groups,"Central government administration, defence, and public safety",SG01RSC04B01OO2,1987Q4,0.037298325,1178.558557
Industry groups,Education and training,SG01RSC04B01PP1,1987Q4,0.03882312,1447.877266
Industry groups,Health care and social assistance,SG01RSC04B01QQ1,1987Q4,0.042113196,1283.115026
Industry groups,Arts and recreation services,SG01RSC04B01RS1,1987Q4,0.007862961,341.0340161
Industry groups,Other services,SG01RSC04B01RS2,1987Q4,0.017095054,471.9420452
Industry groups,"GST, import duties, stamp duty",SG01RSC04B01UZ9,1987Q4,0.068042853,1843.176117
Industry groups,Agriculture,SG01RSC04B01AA1,1988Q1,0.049995988,1766.793827
Industry groups,Forestry and logging,SG01RSC04B01AA2,1988Q1,0.004200627,128.6698725
Industry groups,"Fishing, aquaculture and agriculture, forestry and fishing support services",SG01RSC04B01AA3,1988Q1,0.006766143,200.5969728
Industry groups,Mining,SG01RSC04B01BB1,1988Q1,0.014020617,664.9494839
Industry groups,"Food, beverage, and tobacco manufacturing",SG01RSC04B01CC1,1988Q1,0.056428713,1140.911376
Industry groups,"Textile, leather, clothing, and footwear manufacturing",SG01RSC04B01CC2,1988Q1,0.014013225,302.2620573
Industry groups,Wood and paper products manufacturing,SG01RSC04B01CC3,1988Q1,0.019152239,355.9543146
Industry groups,Printing,SG01RSC04B01CC4,1988Q1,0.007345958,213.270305
Industry groups,"Petroleum, chemical, polymer, and rubber product manufacturing",SG01RSC04B01CC5,1988Q1,0.038113244,712.4692146
Industry groups,Non-metallic mineral product manufacturing,SG01RSC04B01CC6,1988Q1,0.006058797,174.8146371
Industry groups,Metal product manufacturing,SG01RSC04B01CC7,1988Q1,0.018716353,521.4970694
